Ship Date,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
2010-02-08,73365202612,714614,39066.73999999999,27098.149999999998,201340667.98999992,140141031.31,61199636.67999999
2010-02-09,66015059639,584587,34756.81000000003,24563.100000000002,178374670.35,129010191.45000003,49364478.900000006
2010-02-10,92146105356,783605,41873.060000000005,29620.019999999986,191276969.13000014,134831657.68999997,56445311.44000001
2010-02-11,70711689986,695840,34621.41000000002,23910.899999999994,180223651.48000005,125885893.76999994,54337757.71000005
2010-02-12,90069888947,808465,41059.10000000001,28840.889999999992,204592942.00999996,142900325.20000002,61692616.81000003
2010-02-13,78573028636,700341,40721.309999999976,28873.91,191216747.88000014,134684859.71999997,56531888.16
2010-02-14,83577079037,842883,40727.46999999997,28736.649999999976,212429920.85000002,149991953.23000008,62437967.619999975
2010-02-15,90336636757,807060,39318.97,27342.439999999995,194405703.26,136793544.08000004,57612159.180000015
2010-02-16,81559725693,775785,37066.75000000004,25578.560000000012,203011470.94000006,141408093.41000006,61603377.52999998
2010-02-17,91186715091,787562,42020.49000000003,28917.66999999998,194936671.75999996,133718361.88999997,61218309.870000005
2010-02-18,96130895742,864452,46468.939999999995,33043.79999999999,236737612.71000004,170535930.65999988,66201682.05
2010-02-19,89948811179,857418,38045.62000000002,26004.489999999983,193203593.45999995,131918007.92000002,61285585.539999984
2010-02-20,97629803987,865861,48326.29999999991,34438.90000000001,234199534.05999994,166777184.66000003,67422349.40000002
2010-02-21,86651817655,784074,45782.64999999997,32512.119999999988,227001945.83999994,160805307.08,66196638.76000003
2010-02-22,90805222890,835245,42903.98999999999,30015.409999999993,211598695.9500001,146473327.26999998,65125368.67999999
2010-02-23,104146181090,978339,47886.37999999997,32822.25999999999,242960747.58999997,166898999.02999988,76061748.55999999
2010-02-24,96475966901,882121,46152.369999999966,32312.40000000001,231776686.1700001,163519771.21,68256914.96000002
2010-02-25,99096423893,904716,48985.18999999998,35037.179999999964,252041774.10999995,178331388.68,73710385.42999996
2010-02-26,94847477455,921315,53784.96999999993,37799.10000000002,279786853.94,196446595.4,83340258.54000005
2010-02-27,99801236253,887478,52611.13999999997,37395.340000000004,260022117.81000003,186496549.32,73525568.49000002
2010-02-28,109771121045,996494,55349.92999999991,39416.60000000002,289611074.93999994,205306456.81999993,84304618.12000003
2010-03-01,98602002147,927463,47278.409999999945,33465.560000000005,233636074.30000007,164677297.02999988,68958777.26999997
2010-03-02,90627922156,761752,44450.669999999955,31295.089999999986,201233559.03000006,141255834.81999996,59977724.21000002
2010-03-03,88377499795,804893,47891.67999999998,33985.55999999999,226242734.52,158696122.02999997,67546612.49000007
2010-03-04,108874833544,1024809,53374.989999999954,37320.72999999999,291161727.45999986,202616968.5400001,88544758.91999997
2010-03-05,81485589720,823566,43630.34999999999,31091.520000000008,227093732.2900001,162354532.84,64739199.44999998
2010-03-06,103028849318,865339,52105.349999999955,37780.05999999998,249667882.79000002,181334678.08,68333204.71000002
2010-03-07,97150215341,896905,49367.18999999992,35063.74,251527100.69000003,179098014.8,72429085.89000006
2010-03-08,101263769418,921256,53180.19999999995,37964.24,267121291.60999998,192431691.7800001,74689599.82999997
2010-03-09,97428905867,870221,49697.23999999997,35552.239999999976,260810715.09000015,186973200.06999996,73837515.02000003
2010-03-10,115878297487,971137,53096.44999999994,37768.499999999985,260887848.51999995,185606548.97999987,75281299.53999995
2010-03-11,102168964087,980462,53157.879999999954,38317.57,278045575.9,201824458.79000005,76221117.10999998
2010-03-12,106564356885,950287,50493.39999999998,35927.12999999995,249477184.05000007,176998588.17000002,72478595.88000003
2010-03-13,98528400814,909181,51052.279999999955,36357.479999999974,248042260.1100002,176866803.72000015,71175456.39
2010-03-14,99193404623,955458,47346.90999999999,33102.38999999999,251716545.08999994,175911237.13000008,75805307.96
2010-03-15,111601018739,1020152,52581.029999999955,37342.25999999996,277668869.2499999,199178784.06000006,78490085.19
2010-03-16,101019934299,915029,45949.769999999975,31934.75999999997,228623485.07,158832222.82,69791262.25000004
2010-03-17,95043238020,878086,40386.77,28312.579999999965,207214336.4800001,149236909.01,57977427.47000003
2010-03-18,92710986697,871108,38900.630000000005,26791.199999999993,199137947.88999987,134878881.38999993,64259066.49999999
2010-03-19,94136648093,869132,39050.240000000005,26920.51999999998,194490619.23999995,133617012.03999993,60873607.19999995
2010-03-20,118875135575,1072662,51479.31999999995,35898.13999999995,267240785.38999996,189610368.94000003,77630416.45
2010-03-21,99628081300,889384,44985.340000000026,31898.019999999957,230217522.28,163481341.67000005,66736180.60999999
2010-03-22,104970772198,891178,43894.75999999999,30362.739999999972,209770396.56999993,144629176.56999993,65141220.000000015
2010-03-23,104819676515,964033,43741.23,29788.96,221212478.18000007,151654546.85000002,69557931.33000001
2010-03-24,102980240158,925387,44471.39999999999,30981.279999999977,223181602.34,155911386.4700001,67270215.86999995
2010-03-25,98995839270,912616,47728.95999999996,34109.56999999998,242626361.02999988,172932305.96,69694055.07000002
2010-03-26,91608762684,787695,41277.80000000001,28671.739999999987,206294985.10000005,144537372.81,61757612.29000005
2010-03-27,97404647577,862496,48168.46999999997,33699.62,235314422.25000003,165638080.23000017,69676342.01999998
2010-03-28,93878218364,867470,43887.019999999975,30703.469999999987,224386882.66000006,155474636.13999996,68912246.52
2010-03-29,83467467397,757498,43652.450000000004,30891.369999999988,223169522.30000004,160875049.10000002,62294473.199999966
2010-03-30,96168663703,863127,45136.369999999966,31734.639999999978,214258911.62999994,150270701.16,63988210.46999999
2010-03-31,92849869217,901831,43501.36999999999,30683.959999999992,246865606.50999996,175524128.6,71341477.91
2010-04-01,98721823153,939446,54370.69999999994,38870.38,265884732.60000014,191030868.24999997,74853864.35
2010-04-02,102222575295,882084,49958.25999999997,35625.09999999998,233865012.93999997,166144043.06000006,67720969.88000001
2010-04-03,94942113088,896106,53642.529999999955,38154.76999999997,273030543.06999993,194424551.25999993,78605991.81
2010-04-04,110681963143,1001476,51826.66999999997,36136.459999999985,268834552.87,188164293.27999994,80670259.59000006
2010-04-05,121731365644,1136591,61644.58999999993,44148.059999999976,313885825.15000015,225015495.18999988,88870329.96000002
2010-04-06,88486396156,796308,47932.969999999965,33698.23,219919756.52999988,152917647.01000014,67002109.52000004
2010-04-07,93310954009,801649,42608.64999999998,29844.279999999995,215973856.86999995,152912470.58,63061386.289999984
2010-04-08,84382292697,779216,42805.39999999998,30714.58999999998,207635052.49000004,148901626.84000003,58733425.65000002
2010-04-09,95030936252,743455,47160.36999999996,33600.99999999997,211088431.8799999,150439614.34000006,60648817.539999984
2010-04-10,101214266175,865587,50392.76999999993,35255.81,246914335.73000008,174112305.24000013,72802030.49000002
2010-04-11,100084627504,911239,55051.94999999995,39885.909999999945,278288392.4499998,202754921.4800001,75533470.97000001
2010-04-12,99310419737,932829,49821.75999999993,35409.289999999964,254541485.28000018,181542619.94000006,72998865.33999996
2010-04-13,123763378357,1000039,55314.09999999996,39074.26,255280359.95000002,181498179.39000008,73782180.56000002
2010-04-14,95163530081,840902,43618.349999999984,31128.249999999985,214399353.51000005,154557531.76000002,59841821.75000002
2010-04-15,100858462001,859493,52353.839999999975,37105.14999999997,256328830.41999987,182085717.44000015,74243112.98000005
2010-04-16,102845110395,920615,46183.199999999946,32776.31999999998,222667068.47,159208955.40999994,63458113.05999999
2010-04-17,100340627200,875259,44391.949999999946,30541.209999999992,220722301.48000005,153709111.40999997,67013190.069999985
2010-04-18,103357431866,903347,49801.76999999998,35162.139999999956,236272503.44999993,167344378.53,68928124.92000005
2010-04-19,95318085007,907992,45485.579999999994,32321.999999999967,243424271.23,174093896.19999996,69330375.02999997
2010-04-20,95573229133,889964,41965.56999999997,29519.49999999997,223826307.82999995,157558258.63000005,66268049.20000004
2010-04-21,103158273877,1008371,43212.62999999999,29676.029999999973,240334046.46999994,164927733.58999988,75406312.87999998
2010-04-22,98959051231,865061,45243.61999999998,31776.259999999984,216766663.95000002,154889136.71000013,61877527.23999993
2010-04-23,98858650105,858732,38573.97,26316.709999999992,189971308.03000006,130985364.85999995,58985943.16999999
2010-04-24,103902912379,935436,46283.27999999998,32144.719999999976,250118392.16999996,174569566.41000003,75548825.76
2010-04-25,109596084967,967982,47573.129999999976,33184.739999999976,226732775.81,159503888.0,67228887.81000005
2010-04-26,102459017580,945189,43206.269999999975,29099.979999999992,227003525.3599999,151686269.25000003,75317256.10999995
2010-04-27,96896603092,838859,46848.29999999997,33085.49999999999,227856603.53000006,160902142.55,66954460.97999997
2010-04-28,94318511770,800070,43906.50999999998,30636.359999999986,212872149.9299999,148695382.6,64176767.33000002
2010-04-29,105897059756,894829,48896.59999999997,34431.30999999998,238414793.42000005,165581214.54999992,72833578.87
2010-04-30,105994254080,911068,48927.06999999996,34030.770000000004,228354046.02000004,156756108.76,71597937.25999999
2010-05-01,100475920478,995815,49848.98999999996,35230.84,278029140.0200001,194994496.06999996,83034643.94999994
2010-05-02,94112403890,851293,47305.34999999997,32853.1,232888980.33000007,160680763.18999997,72208217.13999999
2010-05-03,91059183958,894832,45578.82999999998,32161.72999999998,233004283.13999996,161103700.96999994,71900582.17
2010-05-04,94536526052,908778,44276.07999999997,32016.90999999997,262521883.8399999,193111346.73999995,69410537.1
2010-05-05,101558463199,925410,53343.88999999996,37885.23999999999,276120193.6700002,196757972.01,79362221.65999997
2010-05-06,93587726198,918653,48297.40999999997,34628.92999999999,249864331.5399999,179590892.62999994,70273438.90999998
2010-05-07,79090718232,730473,43932.79999999999,31307.09999999999,223822419.15999985,162379087.12000003,61443332.040000014
2010-05-08,101989474903,894787,51792.909999999945,37138.86,261625136.51999995,187843925.75,73781210.77000004
2010-05-09,110471478642,909851,56412.609999999935,39877.30000000002,263680191.05999997,187143504.51999995,76536686.54000002
2010-05-10,105356926648,936293,51104.23999999995,36384.619999999995,271082207.4499999,194921286.38000008,76160921.07
2010-05-11,90668976855,789290,49180.87999999997,35235.72999999997,219903423.33,156084127.22000006,63819296.10999997
2010-05-12,102095456495,897092,53544.09999999992,38697.639999999985,249736573.96000004,175737375.59,73999198.37000003
2010-05-13,109271610641,1008813,52431.459999999985,37208.399999999965,263161626.74999985,187541122.3999999,75620504.35000002
2010-05-14,92330198927,831826,48857.979999999974,35396.70999999996,238941653.07,175016506.04000014,63925147.03000004
2010-05-15,96776549956,869036,47270.17999999999,33502.07999999998,226014820.01000002,159264884.16000003,66749935.84999998
2010-05-16,102317325773,852311,45408.19999999999,32108.54999999997,210626682.94000012,149277901.98999992,61348780.94999995
2010-05-17,103941006573,857523,44280.86999999998,31124.34999999998,216341479.77999997,152982787.96999997,63358691.81000001
2010-05-18,102816714013,896352,47678.81999999999,33784.45999999997,224706099.32999995,159637187.45000005,65068911.88000002
2010-05-19,107802620730,889237,43609.329999999994,30002.74999999997,223183061.18999988,155372504.94000003,67810556.24999997
2010-05-20,100370528311,932514,45548.83,31867.589999999975,237535340.77000007,165327419.89,72207920.87999998
2010-05-21,105204526276,966182,44717.61999999999,31071.479999999974,229040206.57000008,158358141.50000012,70682065.06999998
2010-05-22,89088910267,862483,42189.17,29159.20999999999,215819104.01000002,150890400.98999998,64928703.02000005
2010-05-23,89653253290,879546,46505.81999999998,33195.679999999986,232480885.73999986,165311585.49000016,67169300.24999999
2010-05-24,97437135820,822524,41985.82000000001,29386.209999999977,203498275.90000004,140491908.43999994,63006367.45999998
2010-05-25,100497904056,925826,47314.01999999998,32882.929999999986,251845850.63000014,177292157.81,74553692.81999993
2010-05-26,112370320129,970399,48324.14999999999,33682.15999999997,227434314.1499999,158096003.49,69338310.66
2010-05-27,97807988497,902015,48482.01999999995,34070.76999999997,240273465.43000004,168616475.61000007,71656989.82000008
2010-05-28,94889269540,909980,45954.609999999964,32185.719999999998,249926437.1800002,177289837.73999992,72636599.44000001
2010-05-29,99535607516,866315,49504.05999999995,34348.06999999999,229636283.89,159314306.4,70321977.48999998
2010-05-30,98483974415,925015,47753.599999999955,33605.57,248236065.6899999,174721907.4099999,73514158.27999994
2010-05-31,96046816974,891391,44707.88000000001,31685.09,231049142.49000004,163810013.52000004,67239128.97000003
2010-06-01,107692352802,949348,50185.07999999998,35455.73999999997,256838554.96000013,182872800.95000008,73965754.01000005
2010-06-02,91473329591,877441,45762.32999999994,31700.66999999999,241660748.76999998,165644735.2400001,76016013.53000005
2010-06-03,92631799308,807806,48825.539999999964,34520.65,243136481.71999988,173263577.57000008,69872904.14999996
2010-06-04,90793818799,858533,42572.710000000014,29816.36999999999,220222436.37000018,154646572.22,65575864.14999997
2010-06-05,100635302283,918455,49534.92999999995,35347.18999999998,262244754.64999998,185628323.58000007,76616431.07
2010-06-06,91432725082,880513,49084.58999999995,35742.14999999998,269234323.3300001,197204842.78999993,72029480.54
2010-06-07,104947584376,981368,55967.779999999926,39713.4,276564910.4800001,196818537.41999993,79746373.06000005
2010-06-08,87625908850,869307,43834.30999999998,30398.35000000001,239434339.17000008,165350947.41000003,74083391.75999998
2010-06-09,91528874608,842153,47524.499999999956,33241.819999999985,243026637.13999987,171143067.93,71883569.20999996
2010-06-10,98314936179,913990,54680.71999999993,39462.03999999999,280455221.61,203211720.31999996,77243501.29000005
2010-06-11,96212507619,829810,47584.31999999997,34012.23999999999,215765852.81000003,152838634.57000008,62927218.24000002
2010-06-12,102800308886,939422,54878.439999999915,39567.35,279893283.50000006,200940315.25000015,78952968.25000001
2010-06-13,102813827215,939796,52498.579999999965,37141.04999999998,245965624.78,173288445.22,72677179.55999997
2010-06-14,101797396672,922278,52952.36999999993,37949.289999999986,243081207.94999993,172441809.41999996,70639398.53000002
2010-06-15,84939950749,794606,47455.489999999954,34662.01999999998,233846928.89999995,171021311.21,62825617.69000002
2010-06-16,92065858973,848062,41911.85999999999,29686.789999999975,218931391.79999995,156506269.70000002,62425122.10000002
2010-06-17,107629641043,961535,52057.149999999965,37329.12999999998,262473112.14999998,187983974.86999986,74489137.27999999
2010-06-18,94312008032,889739,46433.68999999996,33029.93999999996,242097170.36,175880221.58999997,66216948.76999999
2010-06-19,86756646467,828375,43418.24999999995,29743.91000000001,224353192.43000004,155915450.89000005,68437741.53999996
2010-06-20,94484871940,857454,43255.979999999996,30401.95999999999,228162608.30000016,160474083.70999995,67688524.58999999
2010-06-21,101522618497,863898,49130.40999999995,35144.18999999998,251695494.37000006,181774386.65000004,69921107.72000001
2010-06-22,99828551832,867336,49520.559999999954,34681.34999999997,229099211.62999994,160210494.33000004,68888717.3
2010-06-23,94762088592,850870,37956.96000000002,26480.64999999996,190630254.26,131940308.91000003,58689945.349999994
2010-06-24,103713467356,1015282,50561.92999999996,35659.61999999998,267083348.44000018,189849703.67000002,77233644.76999998
2010-06-25,97122308031,808819,42391.77999999997,29646.21999999997,193573870.53,134487765.58000007,59086104.95000004
2010-06-26,94146767570,914546,38931.79000000001,26795.549999999977,177511912.5499999,117937776.31000003,59574136.240000024
2010-06-27,101717686936,984927,47129.139999999985,32835.46999999997,227168432.6300001,159266253.55,67902179.07999995
2010-06-28,101786030825,955130,48623.58000000001,34148.009999999966,239435567.53999996,169117280.4800001,70318287.05999997
2010-06-29,99088927056,897077,46285.92999999996,32433.159999999974,211912874.18999985,146464905.8300001,65447968.36
2010-06-30,93146174351,785098,39640.45,27592.22999999998,182481322.10999987,127213995.07000001,55267327.04000003
2010-07-01,97978374549,863344,49417.189999999966,35363.32,230229815.89000002,162410050.49999994,67819765.39
2010-07-02,97805429252,855292,46320.54999999998,32405.969999999976,226528879.45000008,156685551.87000003,69843327.57999994
2010-07-03,90930705440,1013730,46024.259999999995,32073.77999999999,273395572.4600001,190284193.4,83111379.06
2010-07-04,82160205341,728461,35588.060000000034,24113.269999999997,173216536.61999997,120418994.92999998,52797541.69
2010-07-05,82312036745,774477,42676.39999999999,30162.65,209396580.51999992,147627664.81,61768915.71000002
2010-07-06,97799579705,947102,52095.85999999997,36965.17999999997,277457757.31000006,198035614.0699999,79422143.24000001
2010-07-07,104293816162,935685,51504.579999999965,36000.19999999998,260429611.1100001,182613685.33000004,77815925.77999997
2010-07-08,108056532306,1087847,62741.66999999989,44917.05000000003,344414243.3499999,247799581.8100001,96614661.54000005
2010-07-09,104348510987,857964,50120.949999999975,34921.41999999999,230904169.0599999,162883035.14000002,68021133.92000003
2010-07-10,109142874784,1005311,56450.399999999914,39585.12999999998,265593994.65000015,186040689.97,79553304.68000002
2010-07-11,93793479257,866698,49203.93999999995,35247.909999999996,241363206.98,171203441.28999996,70159765.69
2010-07-12,101468133533,933709,53908.44999999992,38273.66000000001,283366502.3399999,203543725.82999995,79822776.50999996
2010-07-13,105152810662,891548,53689.169999999925,38554.12999999999,276043960.3699998,199444161.34999987,76599799.02000004
2010-07-14,89925716525,898613,51204.629999999925,36090.42999999998,259625898.64999992,181944054.44,77681844.20999995
2010-07-15,108687793216,1059993,54592.24999999993,38788.069999999985,296658350.96999997,211576086.92999992,85082264.04000002
2010-07-16,97825860742,864556,49426.38999999997,35357.729999999974,236956379.44000003,170613640.52999988,66342738.90999996
2010-07-17,103169474400,913697,51983.549999999974,36416.33,247151333.33999988,171025243.23,76126090.10999998
2010-07-18,87964759988,831434,46892.099999999955,33666.03999999998,238128230.98000002,173607739.97000003,64520491.010000005
2010-07-19,81618848204,726034,42774.88999999997,30670.72000000001,215723148.0299999,154935403.37999994,60787744.65
2010-07-20,89533473354,852012,45493.17999999996,31284.939999999995,229417174.28999996,157757544.49000013,71659629.79999997
2010-07-21,104315189051,877573,45239.229999999974,31697.569999999992,226775056.0400002,159034425.96000004,67740630.07999994
2010-07-22,94743731126,868488,47407.90999999997,33717.089999999975,242745662.98000005,173523786.46,69221876.51999995
2010-07-23,99601616038,989706,45878.31999999999,32274.629999999957,245951164.6600001,172907970.08999997,73043194.57000002
2010-07-24,86823108675,772888,40558.96999999998,28059.359999999986,198924243.70999998,139324476.6600001,59599767.05000007
2010-07-25,97277807690,926608,44691.27999999997,31437.689999999977,224556627.49,157730025.52,66826601.969999984
2010-07-26,86908849868,767600,42326.919999999984,29595.799999999977,197539301.74999988,136431374.07,61107927.67999998
2010-07-27,93056147015,894854,44929.249999999985,31696.55999999998,242226630.6299999,170487103.33000004,71739527.30000001
2010-07-28,88147312532,793103,38354.959999999985,26248.259999999984,198853992.0600001,136986403.32999995,61867588.73000002
2010-07-29,92952076878,828181,44786.88999999997,31535.009999999962,219394361.63999993,151812835.58999997,67581526.05000001
2010-07-30,108714248428,1019518,48304.01999999996,33247.08999999995,238169012.39999995,164418700.35000002,73750312.05
2010-07-31,102849991862,883997,47531.20999999999,33506.979999999974,219365915.8100001,155322488.19999993,64043427.61
2010-08-01,91550955449,869801,39652.36999999998,27184.819999999992,193689646.25,129183351.61999999,64506294.63
2010-08-02,113313054688,1006190,56714.63999999995,40235.939999999966,284325678.67999995,201241233.79000005,83084444.89
2010-08-03,92158304210,922069,43929.790000000015,31335.549999999977,229753222.79000014,163671183.62000003,66082039.17000001
2010-08-04,101492963378,981104,45872.77999999997,31449.729999999996,217526462.23000005,147512763.55,70013698.67999999
2010-08-05,97454439877,861721,45030.249999999956,31634.459999999977,224301083.54000005,159657262.79000014,64643820.749999955
2010-08-06,105643409202,1002549,54200.25999999997,38422.44000000001,287896839.53999996,204689264.96999994,83207574.57000004
2010-08-07,109531281595,1045500,57963.04999999992,41002.64999999999,285350797.76000017,199341921.34999996,86008876.41000007
2010-08-08,101950109837,965482,52265.569999999956,36353.35999999998,265960198.56000024,183810225.15000007,82149973.40999998
2010-08-09,106230879227,1009125,52590.74999999995,37707.33,272425608.2900001,194735585.05000004,77690023.24
2010-08-10,105668299632,947346,56289.10999999989,39902.670000000035,284026291.52,198953837.81000003,85072453.70999998
2010-08-11,97903142270,933879,48825.46999999999,34684.06,258510340.46000004,184997581.73999992,73512758.72000003
2010-08-12,94383284681,850939,48383.789999999964,34157.349999999984,241646611.38000005,170265582.28999996,71381029.08999997
2010-08-13,92059249664,856494,45703.00999999995,31984.969999999994,230456195.50000012,159771833.41000006,70684362.09000003
2010-08-14,96644195551,831589,48354.04999999992,34609.25000000001,244217843.02999997,173445085.98999992,70772757.03999998
2010-08-15,101311317776,864164,53577.69999999994,38306.85999999997,251750235.26000002,178139734.93,73610500.33
2010-08-16,109895723685,943461,55352.47999999991,39336.759999999995,260009174.00000006,182126841.97999987,77882332.02000003
2010-08-17,97136743241,982503,51597.29999999995,36748.479999999996,286515173.3999998,205105960.40999994,81409212.99000002
2010-08-18,90691383345,866437,47393.95999999997,33631.249999999985,231388085.12999982,163756799.92999992,67631285.2
2010-08-19,92390204097,805557,44104.579999999965,30829.459999999995,213331529.5400001,149569310.79000002,63762218.74999998
2010-08-20,97289496931,884874,44199.79999999996,31739.159999999985,228291079.15,165386347.45999998,62904731.689999945
2010-08-21,86527441382,796085,45673.87999999997,32866.56999999997,215121988.80000013,155370084.06999996,59751904.73000003
2010-08-22,97575114546,833183,47711.24999999994,34280.38999999998,219280128.62000006,157194041.25999996,62086087.36000003
2010-08-23,104194132159,991558,48117.63999999998,34357.84999999995,244569102.61000013,174938891.39000008,69630211.21999998
2010-08-24,103842126348,915214,48162.58999999998,34615.44999999996,247991118.07999998,179845483.95999992,68145634.12
2010-08-25,100383179125,921590,42263.840000000004,28922.97999999998,210293444.17000002,144498514.4900002,65794929.679999985
2010-08-26,103160028959,936600,45429.0,32134.519999999957,228422895.08999997,161561327.1300001,66861567.96000003
2010-08-27,94497303347,921292,46415.48999999997,32279.31999999997,238131657.67000005,167739595.55,70392062.11999999
2010-08-28,104446565477,882482,46954.28999999999,33878.57999999996,216098907.49000013,154410844.39,61688063.09999996
2010-08-29,107719418035,983969,47833.28999999996,33247.40999999999,237715044.41000006,165114065.2499999,72600979.15999995
2010-08-30,107299128533,1022951,47637.83000000001,33393.65999999995,241939382.78000006,171177515.2399999,70761867.54
2010-08-31,105379762142,996659,48415.589999999975,33697.04999999997,240927011.84000018,165893269.66000003,75033742.18000004
2010-09-01,109745361350,999055,48941.69999999999,34639.94999999998,248495770.07,175517184.56,72978585.51
2010-09-02,97843197415,893414,44784.62999999997,30948.64999999998,225014641.9499999,157334972.93000004,67679669.01999995
2010-09-03,100377229151,898873,47128.66999999997,33177.06999999998,237230388.9999999,165179807.1099999,72050581.89000002
2010-09-04,91792148228,830664,44657.949999999975,30682.94999999999,215889776.94000003,147703606.7300001,68186170.21000002
2010-09-05,100159665405,886619,50230.11,35208.71999999997,246041957.17,174893604.97000006,71148352.20000006
2010-09-06,97600491873,944881,52115.89999999994,36632.33,268835966.68999994,188679657.96000022,80156308.72999994
2010-09-07,94640483093,833955,48858.51999999994,34463.87,225425782.05999994,159719677.4599999,65706104.6
2010-09-08,108383046395,943219,51585.14999999993,35512.96,263200257.37,184148534.51000008,79051722.85999994
2010-09-09,96900211300,868897,48490.629999999954,33562.97,240160876.22999993,166687449.84,73473426.39000003
2010-09-10,98602742321,848788,51288.35999999994,36371.7,256942608.34,183524225.95999998,73418382.38
2010-09-11,103655602366,950075,51132.57999999995,36384.49000000001,276417895.65000004,196330797.11000004,80087098.54000002
2010-09-12,103256707011,940055,49317.80999999997,34812.21999999998,240334762.86999995,167762622.44000006,72572140.42999996
2010-09-13,104671757894,1000481,55811.04999999994,40180.61999999999,296829804.78,211110230.95999986,85719573.82
2010-09-14,114759607536,997910,55067.40999999993,39245.65999999999,291059229.3700001,209879961.38000003,81179267.99000001
2010-09-15,91957991452,802252,44610.59999999997,31651.439999999995,219938069.38,155599964.67999986,64338104.700000025
2010-09-16,102276914160,994446,53064.129999999925,37537.28999999999,306577323.3900001,219225175.0200001,87352148.37000002
2010-09-17,104542561924,943935,53988.199999999924,37533.229999999996,260228012.1599999,183703637.03,76524375.12999997
